datetime,nb_total_net_buy,nb_total_buy,nb_total_sell
2015-12-11,-3.7662,11.268699999999999,15.0349
2015-12-14,-5.2791,11.4723,16.7514
2015-12-15,2.1049,13.890999999999998,11.7861
2015-12-16,-6.7038,10.581900000000001,17.2857
2015-12-17,8.8727,18.196099999999998,9.3234
2015-12-18,-3.0096,16.9098,19.9194
2015-12-21,-4.5787,15.348199999999999,19.9269
2015-12-22,-7.6189,14.832699999999999,22.4516
2015-12-23,-3.7182999999999997,14.8313,18.5496
2015-12-28,-2.7253,12.7445,15.4698
2015-12-29,4.9169,14.696900000000001,9.78
2015-12-30,2.8467000000000002,12.1853,9.3386
2015-12-31,-4.9067,6.8471,11.753800000000002
2016-01-04,0.31,9.151299999999999,8.8413
2016-01-05,14.293800000000001,28.151799999999998,13.857999999999999
2016-01-06,-6.5684000000000005,12.4067,18.9751
2016-01-07,-0.0033,3.4416,3.4449
2016-01-08,1.5372999999999999,23.186700000000002,21.6494
2016-01-11,-5.682799999999999,13.2959,18.9787
2016-01-12,-8.5657,13.4741,22.0398
2016-01-13,0.966,14.0085,13.0425
2016-01-14,-2.9208999999999996,16.9446,19.8655
2016-01-15,-3.4044,11.513,14.9174
2016-01-18,0.8090999999999999,12.7036,11.8945
2016-01-19,2.9988,13.1755,10.1767
2016-01-20,-8.8077,10.033999999999999,18.8417
2016-01-21,-2.8931999999999998,8.7096,11.6028
2016-01-22,3.2116000000000002,12.6522,9.4406
2016-01-25,0.5265,9.4707,8.9442
2016-01-26,-2.6188,12.222000000000001,14.8408
2016-01-27,43.1987,54.1216,10.9229
2016-01-28,-4.9852,20.208199999999998,25.1934
2016-01-29,14.573599999999999,37.9806,23.406999999999996
2016-02-01,-3.5844,16.108800000000002,19.6932
2016-02-02,-1.2018,17.6479,18.8497
2016-02-03,-23.7781,7.1399,30.918000000000003
2016-02-04,1.3771,12.216,10.8389
2016-02-05,-0.9779000000000001,7.261900000000001,8.2398
2016-02-15,-2.2079,12.878900000000002,15.0868
2016-02-16,2.0211,14.879000000000001,12.857899999999999
2016-02-17,-3.4368,11.746300000000002,15.1831
2016-02-18,2.4455,14.161800000000001,11.7163
2016-02-19,0.004,11.654300000000001,11.6503
2016-02-22,-1.1177,13.155,14.2727
2016-02-23,2.717,10.5671,7.8501
2016-02-24,-2.7958999999999996,9.856900000000001,12.6528
2016-02-25,0.30469999999999997,14.1042,13.7995
2016-02-26,13.1711,21.280700000000003,8.1096
2016-02-29,17.0632,25.9586,8.8954
2016-03-01,5.0273,16.4875,11.4602
2016-03-02,24.4053,32.846599999999995,8.4413
2016-03-03,-8.298300000000001,19.4247,27.723000000000003
2016-03-04,17.3144,39.1804,21.866
2016-03-07,7.5916999999999994,19.8522,12.2605
2016-03-08,-3.4488,12.433699999999998,15.8825
2016-03-09,0.2369,10.8641,10.6272
2016-03-10,2.3764,10.9833,8.606900000000001
2016-03-11,9.0675,17.8386,8.7711
2016-03-14,3.2258,18.5392,15.3134
2016-03-15,-2.7788,16.0133,18.7921
2016-03-16,-2.7727,22.7251,25.4978
2016-03-17,15.876800000000001,29.1694,13.2926
2016-03-18,9.998,41.8205,31.8225
2016-03-21,-1.6363999999999999,33.4781,35.1145
2016-03-22,4.1503,33.6182,29.4679
2016-03-23,-1.3021,19.647000000000002,20.949099999999998
2016-03-29,-2.8217000000000003,16.3042,19.125899999999998
2016-03-30,10.5777,23.971799999999998,13.394100000000002
2016-03-31,21.475,34.8755,13.4005
2016-04-01,-4.7276,11.431,16.1586
2016-04-05,0.2505,13.9269,13.676400000000001
2016-04-06,-4.2095,13.4627,17.6722
2016-04-07,-1.5714,11.5336,13.105
2016-04-08,-2.526,10.301400000000001,12.8274
2016-04-11,9.4832,21.055300000000003,11.5721
2016-04-12,8.697000000000001,15.6077,6.9107
2016-04-13,31.542399999999997,45.6967,14.154300000000001
2016-04-14,14.4401,25.0944,10.654300000000001
2016-04-15,-0.7816,14.7773,15.558900000000001
2016-04-18,-10.867799999999999,9.4945,20.3623
2016-04-19,2.0205,12.918299999999999,10.8978
2016-04-20,-15.3648,18.8649,34.2297
2016-04-21,1.5711000000000002,17.2229,15.651800000000001
2016-04-22,-1.909,11.4553,13.3643
2016-04-25,-1.3015999999999999,9.902899999999999,11.204500000000001
2016-04-26,1.8295,11.8905,10.061
2016-04-27,-3.3679,7.203200000000001,10.5711
2016-04-28,-2.805,12.2239,15.0289
2016-04-29,0.8895000000000001,10.208,9.3185
2016-05-03,6.153,17.9705,11.8175
2016-05-04,-2.7588999999999997,9.0801,11.839
2016-05-05,-5.638,6.925800000000001,12.5638
2016-05-06,-13.5968,6.9677,20.5645
2016-05-09,-5.3404,7.8816,13.222000000000001
2016-05-10,-4.1152,11.7961,15.9113
2016-05-11,-2.4017,8.5386,10.9403
2016-05-12,-4.5585,6.4605,11.019
2016-05-13,-7.3050999999999995,5.413200000000001,12.7183
2016-05-16,0.3243,5.626900000000001,5.3026
2016-05-17,-1.4602000000000002,6.710800000000001,8.171
2016-05-18,-4.236000000000001,7.888999999999999,12.125
2016-05-19,-1.7866,5.1485,6.9351
2016-05-20,2.1399,7.9861,5.8462
2016-05-23,3.4402999999999997,10.107999999999999,6.6677
2016-05-24,-0.7462000000000001,5.942200000000001,6.688400000000001
2016-05-25,12.5928,16.1935,3.6007
2016-05-26,3.0982,9.9129,6.8147
