instrument,datetime,nb_hold_pct,nb_hold_mv,nb_hold_pct_chg,nb_net_buy_ratio
SH600285,2024-08-16,,,,
SH600559,2024-08-16,,,,
SZ301018,2024-08-16,,,,
SZ000028,2024-08-16,,,,
SH600757,2024-08-16,,,,
SH600488,2024-08-16,,,,
SZ301408,2024-08-16,,,,
SH688207,2024-08-16,,,,
SZ301015,2024-08-16,,,,
SZ300825,2024-08-16,,,,
SH688486,2024-08-16,,,,
SH605116,2024-08-16,,,,
SH688595,2024-08-16,,,,
SZ002139,2024-08-16,,,,
SZ000813,2024-08-16,,,,
SZ301297,2024-08-16,,,,
SZ002533,2024-08-16,,,,
SH603323,2024-08-16,,,,
SH688382,2024-08-16,,,,
SH688630,2024-08-16,,,,
SZ002194,2024-08-16,,,,
SZ301377,2024-08-16,,,,
SZ300623,2024-08-16,,,,
SZ301363,2024-08-16,,,,
SH601963,2024-08-16,,,,
SZ002396,2024-08-16,,,,
SH600131,2024-08-16,,,,
SH688176,2024-08-16,,,,
SH688232,2024-08-16,,,,
SZ301085,2024-08-16,,,,
SH688192,2024-08-16,,,,
SH601566,2024-08-16,,,,
SZ301367,2024-08-16,,,,
SZ002644,2024-08-16,,,,
SZ300482,2024-08-16,,,,
SZ300009,2024-08-16,,,,
SH603583,2024-08-16,,,,
SZ300951,2024-08-16,,,,
SZ002117,2024-08-16,,,,
SH600228,2024-08-16,,,,
SH601878,2024-08-16,,,,
SH601607,2024-08-16,,,,
SH603297,2024-08-16,,,,
SH601827,2024-08-16,,,,
SZ000962,2024-08-16,,,,
SZ002831,2024-08-16,,,,
SH688606,2024-08-16,,,,
SZ300468,2024-08-16,,,,
SH688506,2024-08-16,,,,
SZ002025,2024-08-16,,,,
SZ300171,2024-08-16,,,,
SZ002219,2024-08-16,,,,
SH688035,2024-08-16,,,,
SZ002410,2024-08-16,,,,
SH688046,2024-08-16,,,,
SZ300131,2024-08-16,,,,
SZ002287,2024-08-16,,,,
SH600035,2024-08-16,,,,
SH603517,2024-08-16,,,,
SZ002992,2024-08-16,,,,
SH601869,2024-08-16,,,,
SH688209,2024-08-16,,,,
SZ001201,2024-08-16,,,,
SZ002035,2024-08-16,,,,
SH605099,2024-08-16,,,,
SZ002695,2024-08-16,,,,
SH603595,2024-08-16,,,,
SH600059,2024-08-16,,,,
SH600601,2024-08-16,,,,
SZ000411,2024-08-16,,,,
SH688047,2024-08-16,,,,
SH601636,2024-08-16,,,,
SZ002414,2024-08-16,,,,
SH688138,2024-08-16,,,,
SH688062,2024-08-16,,,,
SH688050,2024-08-16,,,,
SH688055,2024-08-16,,,,
SH688105,2024-08-16,,,,
